⏹电视综合▶,#genre#
北京卫视,http://118.122.103.228:4022/udp/239.93.0.180:5140
北京卫视,http://118.122.103.228:4022/udp/239.93.1.66:5140
兵团卫视,http://118.122.103.228:4022/udp/239.93.1.74:5140
东方卫视,http://118.122.103.228:4022/udp/239.93.0.123:5140
东方卫视,http://118.122.103.228:4022/udp/239.93.1.44:5140
东南卫视,http://118.122.103.228:4022/udp/239.93.0.42:5140
东南卫视,http://118.122.103.228:4022/udp/239.93.1.201:5140
甘肃卫视,http://118.122.103.228:4022/udp/239.93.0.81:5140
甘肃卫视,http://118.122.103.228:4022/udp/239.93.1.215:5140
广东卫视,http://118.122.103.228:4022/udp/239.93.0.181:5140
广东卫视,http://118.122.103.228:4022/udp/239.93.1.134:5140
广西卫视,http://118.122.103.228:4022/udp/239.93.1.203:5140
贵州卫视,http://118.122.103.228:4022/udp/239.93.0.131:5140
贵州卫视,http://118.122.103.228:4022/udp/239.93.1.200:5140
海南卫视,http://118.122.103.228:4022/udp/239.93.0.80:5140
海南卫视,http://118.122.103.228:4022/udp/239.93.0.90:5140
海南卫视,http://118.122.103.228:4022/udp/239.93.1.216:5140
河北卫视,http://118.122.103.228:4022/udp/239.93.0.132:5140
河北卫视,http://118.122.103.228:4022/udp/239.93.1.202:5140
河南卫视,http://118.122.103.228:4022/udp/239.93.1.113:5140
河南卫视,http://118.122.103.228:4022/udp/239.93.1.169:5140
黑龙江卫视,http://118.122.103.228:4022/udp/239.93.0.183:5140
湖北卫视,http://118.122.103.228:4022/udp/239.93.0.250:5140
湖北卫视,http://118.122.103.228:4022/udp/239.93.0.115:5140
湖南卫视,http://118.122.103.228:4022/udp/239.93.0.88:5140
湖南卫视,http://118.122.103.228:4022/udp/239.93.1.46:5140
吉林卫视,http://118.122.103.228:4022/udp/239.93.0.248:5140
吉林卫视,http://118.122.103.228:4022/udp/239.93.1.204:5140
江苏卫视,http://118.122.103.228:4022/udp/239.93.0.72:5140
江苏卫视,http://118.122.103.228:4022/udp/239.93.0.89:5140
江苏卫视,http://118.122.103.228:4022/udp/239.93.1.45:5140
江西卫视,http://118.122.103.228:4022/udp/239.93.0.134:5140
江西卫视,http://118.122.103.228:4022/udp/239.93.1.19:5140
康巴卫视,http://118.122.103.228:4022/udp/239.93.0.41:5140
康巴卫视,http://118.122.103.228:4022/udp/239.93.1.149:5140
辽宁卫视,http://118.122.103.228:4022/udp/239.93.1.108:5140
辽宁卫视,http://118.122.103.228:4022/udp/239.93.1.167:5140
内蒙古卫视,http://118.122.103.228:4022/udp/239.93.0.8:5140
内蒙古卫视,http://118.122.103.228:4022/udp/239.93.0.87:5140
内蒙古卫视,http://118.122.103.228:4022/udp/239.93.1.208:5140
宁夏卫视,http://118.122.103.228:4022/udp/239.93.0.247:5140
宁夏卫视,http://118.122.103.228:4022/udp/239.93.0.74:5140
宁夏卫视,http://118.122.103.228:4022/udp/239.93.1.212:5140
农林卫视,http://118.122.103.228:4022/udp/239.93.0.100:5140
农林卫视,http://118.122.103.228:4022/udp/239.93.1.73:5140
青海卫视,http://118.122.103.228:4022/udp/239.93.0.192:5140
青海卫视,http://118.122.103.228:4022/udp/239.93.0.85:5140
青海卫视,http://118.122.103.228:4022/udp/239.93.1.209:5140
山东教育卫视,http://118.122.103.228:4022/udp/239.93.1.196:5140
山东卫视,http://118.122.103.228:4022/udp/239.93.0.168:5140
山东卫视,http://118.122.103.228:4022/udp/239.93.0.229:5140
山西卫视,http://118.122.103.228:4022/udp/239.93.0.127:5140
山西卫视,http://118.122.103.228:4022/udp/239.93.0.6:5140
山西卫视,http://118.122.103.228:4022/udp/239.93.1.207:5140
陕西卫视,http://118.122.103.228:4022/udp/239.93.0.125:5140
陕西卫视,http://118.122.103.228:4022/udp/239.93.0.176:5140
陕西卫视,http://118.122.103.228:4022/udp/239.93.1.205:5140
深圳卫视,http://118.122.103.228:4022/udp/239.93.0.182:5140
深圳卫视,http://118.122.103.228:4022/udp/239.93.1.21:5140
四川卫视,http://118.122.103.228:4022/udp/239.93.0.169:5140
四川卫视,http://118.122.103.228:4022/udp/239.93.0.20:1235
四川卫视,http://118.122.103.228:4022/udp/239.93.0.128:5140
天津卫视,http://118.122.103.228:4022/udp/239.93.0.167:5140
天津卫视,http://118.122.103.228:4022/udp/239.93.0.201:5140
西藏卫视,http://118.122.103.228:4022/udp/239.93.0.175:5140
西藏卫视,http://118.122.103.228:4022/udp/239.93.0.83:5140
西藏卫视,http://118.122.103.228:4022/udp/239.93.1.213:5140
新疆卫视,http://118.122.103.228:4022/udp/239.93.0.194:5140
新疆卫视,http://118.122.103.228:4022/udp/239.93.0.82:5140
新疆卫视,http://118.122.103.228:4022/udp/239.93.1.214:5140
星空卫视,http://118.122.103.228:4022/udp/239.93.0.156:2193
星空卫视,http://118.122.103.228:4022/udp/239.93.1.10:2193
延边卫视,http://118.122.103.228:4022/udp/239.93.0.249:5140
